"";"SBPS1";"SBPS2";"SBPS3";"SBPS4";"SBPS5";"SBPS6";"SBPS7";"SBPS8";"CEIII1E";"CEIII2C";"CEIII3E";"CEIII4C";"CEIII5E";"CEIII6C";"CEIII7E";"CEIII8C";"CEIII9E";"CEIII10C"
"352";3;3;7;1;7;4;5;1;7;4;6;7;5;1;3;6;5;6
"353";5;5;5;5;5;5;5;4;5;3;4;5;3;5;5;4;4;5
"354";2;1;1;4;1;4;1;1;3;2;4;2;3;1;3;6;2;1
"355";6;5;5;2;6;4;6;2;4;3;5;5;5;1;2;6;5;6
"356";6;1;6;4;3;4;3;5;6;3;3;7;5;3;7;5;5;7
"357";3;2;4;6;4;3;3;4;5;4;4;4;3;5;5;5;5;3
"358";1;2;1;1;1;2;2;1;5;2;5;3;6;4;2;3;5;4
"359";7;3;5;6;6;4;4;2;5;2;4;5;5;1;5;2;4;6
"360";2;3;5;4;3;4;3;4;5;3;4;5;4;5;5;4;6;5
"361";5;3;4;4;2;4;2;1;5;2;3;6;7;1;4;3;5;5
"362";1;1;2;1;1;1;1;1;4;3;5;5;5;5;5;5;7;4
"363";3;5;5;3;3;2;2;2;4;2;3;4;4;2;3;5;5;6
"364";1;2;2;2;1;1;1;1;4;2;5;5;6;1;3;7;6;6
"365";2;1;6;5;4;2;2;4;5;4;5;7;7;2;2;6;6;7
"366";1;1;1;1;1;1;1;2;5;3;5;6;5;4;6;5;6;7
"367";2;2;1;2;1;1;3;1;5;2;3;4;5;3;2;5;4;2
"368";4;2;5;2;3;2;2;3;5;4;2;5;6;3;5;4;3;7
"369";4;1;5;2;1;3;2;1;7;4;7;4;7;3;4;5;7;1
"370";5;3;5;3;4;3;3;4;5;5;1;6;3;5;6;7;5;7
"371";5;4;5;2;3;5;4;2;6;5;7;6;7;7;6;6;7;5
"372";3;5;5;5;3;4;1;3;3;2;3;5;5;5;4;4;5;2
"373";1;2;1;4;1;1;1;2;7;2;6;3;5;3;4;5;6;5
"374";3;2;3;1;2;3;5;2;7;5;7;6;6;5;5;6;7;6
"375";7;6;6;6;7;6;6;6;5;4;4;6;4;5;2;7;3;7
"376";2;2;4;1;2;2;2;1;5;4;7;6;6;6;4;6;4;6
"377";4;3;6;5;4;3;4;3;6;3;6;5;4;7;2;5;3;3
"378";2;2;3;3;3;3;2;1;7;2;4;4;6;2;6;6;5;5
"379";3;3;5;1;3;2;2;2;3;4;3;4;5;3;6;5;7;5
"380";6;7;6;7;5;7;6;4;5;2;6;3;4;4;3;5;4;5
"381";6;7;5;6;3;2;3;1;5;2;5;3;5;1;4;5;5;7
"382";5;3;4;1;4;2;5;2;6;3;3;5;7;5;6;5;4;6
"383";1;1;1;1;1;1;4;1;6;4;5;6;6;6;6;5;6;5
"384";5;6;5;7;4;7;6;4;6;4;5;7;4;5;7;7;5;7
"385";1;2;3;1;2;3;1;3;6;5;4;5;5;5;7;5;7;7
"386";1;4;2;3;2;3;2;2;5;6;5;5;6;5;4;4;6;7
"387";1;2;3;2;2;2;2;1;5;3;6;4;5;2;2;4;5;6
"388";3;1;5;1;3;1;4;1;6;1;2;3;3;4;2;4;3;3
"389";5;3;4;6;6;5;5;5;4;3;4;4;4;5;3;3;4;3
"390";2;2;2;3;2;2;2;2;6;3;4;6;5;3;6;4;6;4
"391";2;3;4;5;3;5;5;2;7;4;3;3;7;5;4;5;4;4
"392";2;2;5;1;3;2;1;1;5;1;1;5;4;6;2;2;2;2
"393";2;6;3;2;1;1;1;2;5;6;6;5;7;6;5;5;6;5
"394";7;6;5;5;2;4;3;6;6;4;5;5;5;2;4;5;6;6
"395";2;2;2;4;3;2;5;2;5;4;4;5;4;4;5;5;5;6
"396";7;5;7;7;7;7;5;1;4;1;2;7;6;4;6;2;4;4
"397";3;2;3;2;1;2;3;1;6;2;3;5;7;1;6;3;5;6
"398";3;5;2;2;4;4;4;1;1;1;1;2;1;2;1;4;1;4
"399";6;4;5;6;6;6;6;3;6;5;7;6;5;4;5;6;4;6
"400";5;2;2;3;3;1;4;6;6;5;7;6;4;6;6;7;5;6
"401";4;1;2;4;2;3;2;1;7;1;6;4;7;1;3;1;3;3
"402";1;1;3;1;1;2;1;5;4;3;3;5;6;4;5;6;6;5
"403";4;1;3;3;3;3;4;1;4;4;4;4;6;3;3;4;6;6
"404";3;3;1;3;1;3;2;1;6;2;6;6;6;3;5;6;6;6
"405";3;2;4;2;6;3;2;1;5;2;5;6;5;2;5;5;4;5
"406";5;2;4;2;3;2;5;1;5;1;3;2;6;1;4;6;5;3
"407";2;2;3;3;2;3;2;3;6;3;5;6;5;3;4;5;6;6
"408";1;1;3;2;1;2;1;1;6;2;7;6;6;6;6;6;6;7
"409";2;1;2;1;1;3;4;3;6;2;4;3;4;2;5;3;7;3
"410";6;1;4;1;6;2;2;1;7;1;2;2;2;5;6;4;5;4
"411";5;2;6;3;3;2;4;2;6;2;4;6;7;3;4;4;5;7
"412";2;2;4;2;3;3;3;2;5;3;2;5;4;5;3;4;4;4
"413";2;3;4;6;4;3;3;1;3;2;5;3;5;2;4;3;6;6
"414";2;2;3;2;2;2;2;2;4;3;4;5;5;4;5;5;5;5
"415";1;2;3;1;3;2;2;1;5;3;4;3;7;3;5;7;7;6
"416";1;1;5;7;5;7;1;7;7;7;7;7;7;7;7;7;7;7
"417";6;5;5;6;5;5;5;2;6;1;6;3;3;2;5;2;4;2
"418";2;5;5;7;5;6;7;3;5;5;4;3;5;6;5;4;6;7
"419";3;2;5;2;5;2;2;4;6;5;5;6;5;3;4;6;6;5
"420";5;5;2;4;5;5;2;3;7;1;5;5;6;6;7;6;5;6
"421";2;3;6;5;2;5;2;2;5;5;6;3;5;2;5;3;6;7
"422";2;2;4;6;5;2;4;5;7;6;3;6;7;5;3;5;6;5
"423";2;2;4;2;2;2;2;1;6;2;3;2;5;2;4;5;4;3
"424";3;2;2;2;2;3;3;1;6;3;5;4;6;3;4;5;4;5
"425";1;1;3;3;2;1;3;1;4;6;3;3;2;2;3;3;5;1
"426";6;6;6;6;6;6;6;6;7;7;7;7;7;7;7;7;7;7
"427";1;1;3;1;1;1;1;1;7;3;7;2;7;1;2;2;7;7
"428";2;2;4;2;4;2;2;1;5;4;5;5;7;3;4;6;6;6
"429";5;5;3;4;4;4;3;2;5;2;2;5;7;2;5;4;6;5
"430";2;2;2;2;2;1;3;1;4;2;4;4;6;1;3;2;5;4
"431";2;3;2;1;1;2;2;4;5;2;5;7;6;4;7;4;6;4
"432";2;6;2;5;1;1;1;1;6;4;6;7;6;2;6;5;7;7
"433";1;1;1;1;1;1;1;1;7;5;5;7;7;3;5;7;5;7
"434";2;3;3;1;1;1;2;1;5;4;4;4;5;1;4;3;5;6
"435";2;2;3;3;2;3;4;2;5;4;5;5;6;2;5;5;5;6
"436";3;3;3;2;1;2;3;1;4;3;3;4;5;2;5;4;5;4
"437";3;3;4;5;5;4;3;2;6;2;3;3;3;3;3;4;6;6
"438";1;2;4;3;3;2;3;5;6;4;5;7;7;6;5;5;5;6
"439";2;2;2;2;2;2;5;2;4;3;3;4;5;4;6;3;6;5
"440";1;1;3;6;5;2;6;2;7;5;6;6;7;3;5;7;6;6
"441";2;5;3;1;1;2;3;2;6;3;4;7;4;6;4;7;4;6
"442";1;1;7;2;1;1;2;1;5;1;1;7;7;1;7;6;7;6
"443";3;4;1;6;6;6;2;4;5;3;4;4;7;4;5;4;6;3
"444";2;2;2;2;2;2;2;1;4;1;3;4;5;2;3;1;4;6
"445";1;1;6;1;1;1;1;1;7;4;6;4;6;1;4;2;5;4
"446";5;1;2;2;3;1;4;1;6;4;4;5;5;1;2;6;3;4
"447";5;6;4;5;6;5;6;4;6;3;3;4;5;4;3;4;6;6
"448";4;4;4;5;5;4;6;3;5;2;6;4;6;1;4;4;5;4
"449";1;3;1;5;1;1;1;1;7;3;3;7;5;5;5;7;7;4
"450";1;2;3;2;2;1;2;2;5;5;5;4;6;3;5;5;6;6
"451";5;6;6;1;6;2;4;1;7;2;6;7;4;1;6;1;7;3
"452";4;3;7;5;3;4;5;3;5;2;5;7;3;1;5;6;4;6
"453";2;1;2;2;1;3;2;3;7;2;5;6;5;5;4;6;5;3
"454";2;3;3;2;2;2;2;3;6;5;5;5;5;5;4;5;5;4
"455";1;1;4;1;1;3;1;3;7;2;6;6;7;6;7;7;7;6
"456";2;2;2;2;1;1;1;1;6;3;3;4;3;7;3;3;6;3
"457";3;3;3;5;5;3;4;6;5;6;6;6;6;7;6;5;5;7
"458";2;2;4;2;2;2;2;2;6;2;6;4;6;2;6;4;4;6
"459";4;2;3;4;2;2;3;2;6;3;5;5;7;7;5;7;5;5
"460";2;1;1;1;1;1;1;3;7;3;7;4;6;6;7;7;6;4
"461";1;1;4;1;2;1;1;1;7;2;3;2;7;1;5;7;6;4
"462";1;2;3;1;3;2;2;3;6;4;3;5;6;3;5;6;5;4
"463";1;1;3;3;1;1;1;1;4;3;6;4;7;3;5;6;7;5
"464";2;2;3;2;2;2;3;2;4;2;4;4;5;2;4;3;5;4
"465";3;3;3;4;3;3;2;3;4;7;3;5;5;4;3;5;2;6
"466";4;1;4;1;3;1;1;1;7;1;7;1;1;1;1;4;2;1
"467";3;3;5;1;1;2;2;1;5;2;3;6;5;5;3;3;5;5
"468";2;2;3;2;3;2;3;7;3;3;3;4;4;2;3;3;5;5
"469";1;1;2;3;1;1;3;1;4;7;5;6;7;5;4;5;6;7
"470";3;1;1;2;3;2;2;1;7;3;7;2;4;2;2;4;4;2
"471";4;6;3;6;5;2;2;6;3;4;5;5;6;4;6;5;7;2
"472";4;4;4;4;4;3;4;4;4;4;4;5;4;4;4;4;5;5
"473";1;1;2;1;1;1;1;2;6;2;5;5;7;4;5;3;7;6
"474";2;1;2;1;1;1;1;1;5;7;5;7;5;4;2;7;6;7
"475";1;2;2;5;3;4;1;1;6;5;5;6;7;5;7;4;7;7
"476";1;2;3;2;2;3;2;7;3;2;3;3;5;1;1;3;2;5
"477";7;7;4;4;6;3;6;6;3;5;3;3;2;5;2;5;2;4
"478";2;3;2;2;2;2;2;2;4;4;5;4;5;4;4;7;3;6
"479";1;1;2;1;2;1;2;1;5;6;4;5;6;5;5;6;7;6
"480";1;1;1;4;1;1;1;1;7;5;5;7;3;3;3;7;7;6
"481";6;5;3;4;4;5;6;1;7;3;4;5;7;7;6;2;7;4
"482";1;1;2;1;2;1;2;1;6;4;5;7;7;5;4;7;1;6
"483";1;1;1;1;1;3;1;1;4;4;3;7;7;1;7;5;7;7
"484";2;2;2;2;2;2;2;2;5;2;4;5;6;2;6;5;5;5
"485";3;2;2;3;2;3;2;1;2;1;4;3;5;1;2;3;5;5
"486";1;4;4;2;2;3;1;4;5;4;5;4;7;4;6;6;4;5
"487";1;1;3;6;1;1;6;1;1;2;5;1;7;4;2;2;6;7
"488";2;1;1;1;1;1;1;1;2;2;6;2;4;2;5;4;4;6
"489";2;2;2;2;2;2;2;2;3;2;3;4;5;2;4;4;5;4
"490";1;3;1;2;1;1;1;6;7;6;7;6;7;5;6;7;6;7
